2020-01-10 11:07:45.710 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.fear.healthrecord.HealthrecordApplicationTests], using SpringBootContextLoader
2020-01-10 11:07:45.721 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.fear.healthrecord.HealthrecordApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-01-10 11:07:45.724 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.fear.healthrecord.HealthrecordApplicationTests]: HealthrecordApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-01-10 11:07:45.965 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.fear.healthrecord.HealthrecordApplication for test class com.fear.healthrecord.HealthrecordApplicationTests
2020-01-10 11:07:46.238 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-01-10 11:07:46.275 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6b695b06, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4d1bf319, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6f53b8a, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5c80cf32, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7d900ecf, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6f01b95f, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4007f65e, org.springframework.test.context.event.EventPublishingTestExecutionListener@1a245833, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@673fdbce, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5965d37, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7a5ceedd, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4201c465, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5b799640]
2020-01-10 11:07:46.822 [main] INFO  com.fear.healthrecord.HealthrecordApplicationTests - Starting HealthrecordApplicationTests on DESKTOP-MA5G5M8 with PID 6348 (started by fear in C:\Users\fear\IdeaProjects\healthrecord)
2020-01-10 11:07:46.823 [main] INFO  com.fear.healthrecord.HealthrecordApplicationTests - No active profile set, falling back to default profiles: default
2020-01-10 11:07:50.011 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-01-10 11:07:50.788 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2020-01-10 11:07:50.799 [main] WARN  com.zaxxer.hikari.util.DriverDataSource - Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
2020-01-10 11:07:51.400 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2020-01-10 11:07:51.763 [main] INFO  o.s.s.a.ScheduledAnnotationBeanPostProcessor - No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2020-01-10 11:07:51.777 [main] INFO  com.fear.healthrecord.HealthrecordApplicationTests - Started HealthrecordApplicationTests in 5.417 seconds (JVM running for 8.104)
2020-01-10 11:07:52.666 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-01-10 11:07:52.668 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2020-01-10 11:07:52.689 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2020-01-10 11:08:04.510 [main] INFO  com.fear.healthrecord.HealthrecordApplication - Starting HealthrecordApplication on DESKTOP-MA5G5M8 with PID 4828 (C:\Users\fear\IdeaProjects\healthrecord\target\classes started by fear in C:\Users\fear\IdeaProjects\healthrecord)
2020-01-10 11:08:04.515 [main] INFO  com.fear.healthrecord.HealthrecordApplication - No active profile set, falling back to default profiles: default
2020-01-10 11:08:06.090 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-01-10 11:08:06.099 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-01-10 11:08:06.100 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-01-10 11:08:06.100 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.29]
2020-01-10 11:08:06.188 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-01-10 11:08:06.188 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1602 ms
2020-01-10 11:08:06.366 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2020-01-10 11:08:06.371 [main] WARN  com.zaxxer.hikari.util.DriverDataSource - Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
2020-01-10 11:08:06.688 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2020-01-10 11:08:07.295 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
